LON,LAT,PLOTID,random,PLOT_lon,PLOT_lat,Subset
101.3556908,17.80377072,101,-3.242781253,101.3556908,17.80377072,1
101.5188239,19.18972182,189,-2.897899847,101.5188239,19.18972182,1
101.410345,19.30148491,353,-2.87649084,101.410345,19.30148491,1
102.4153103,20.13478965,197,-2.873000343,102.4153103,20.13478965,1
101.4162034,20.83356642,222,-2.836389206,101.4162034,20.83356642,1
100.4271916,20.50757656,450,-2.726620469,100.4271916,20.50757656,1
104.4426039,20.23527918,194,-2.516978523,104.4426039,20.23527918,1
102.035283,20.7593248,126,-2.327628954,102.035283,20.7593248,1
100.9600162,17.64426105,343,-2.281633254,100.9600162,17.64426105,1
104.7867684,19.95190971,396,-2.272571975,104.7867684,19.95190971,1
104.9413266,20.11943928,73,-2.234187939,104.9413266,20.11943928,1
103.616438,20.67787521,478,-2.193308795,103.616438,20.67787521,1
104.4804741,20.633913,22,-2.153418723,104.4804741,20.633913,1
103.2819406,19.93633041,393,-2.151694853,103.2819406,19.93633041,1
101.1160421,19.69058172,187,-2.1167958,101.1160421,19.69058172,1
102.1455372,20.62038268,206,-2.113141543,102.1455372,20.62038268,1
103.7851909,20.30329706,285,-2.069346183,103.7851909,20.30329706,1
101.1796349,20.28546984,477,-2.059561089,101.1796349,20.28546984,1
101.7068199,18.99998394,255,-2.013058984,101.7068199,18.99998394,1
100.8878825,21.25618804,193,-1.969246226,100.8878825,21.25618804,1
101.8965709,19.49618017,86,-1.924175406,101.8965709,19.49618017,1
103.1206409,20.36924143,64,-1.888546575,103.1206409,20.36924143,1
101.6566977,21.18910046,158,-1.839934368,101.6566977,21.18910046,1
102.6659059,19.66871026,215,-1.814938266,102.6659059,19.66871026,1
101.7658876,21.06780346,365,-1.798785105,101.7658876,21.06780346,1
102.7793983,19.68779419,129,-1.773070381,102.7793983,19.68779419,1
103.8275526,20.85698647,321,-1.767824007,103.8275526,20.85698647,1
100.8794525,20.21857609,266,-1.747385779,100.8794525,20.21857609,1
104.2547525,20.49794809,382,-1.705618706,104.2547525,20.49794809,1
101.4191778,20.72032572,196,-1.688155207,101.4191778,20.72032572,1
101.8083777,19.20552035,7,-1.678368842,101.8083777,19.20552035,1
102.9341358,19.89611227,403,-1.67365458,102.9341358,19.89611227,1
100.4998488,20.18522413,160,-1.673169863,100.4998488,20.18522413,1
102.5656723,20.58314008,207,-1.646529978,102.5656723,20.58314008,1
101.0813504,19.86100256,226,-1.611612308,101.0813504,19.86100256,1
102.9787842,20.26879604,213,-1.597063638,102.9787842,20.26879604,1
102.6163133,20.43445007,241,-1.588552563,102.6163133,20.43445007,1
101.263119,19.382432,373,-1.574509268,101.263119,19.382432,1
101.8749499,20.53871938,45,-1.572426247,101.8749499,20.53871938,1
102.0538664,19.96932985,399,-1.560450753,102.0538664,19.96932985,1
103.8835146,20.8545727,340,-1.517668453,103.8835146,20.8545727,1
101.9574718,19.5515721,264,-1.507222818,101.9574718,19.5515721,1
102.0887923,19.3558296,78,-1.480717783,102.0887923,19.3558296,1
101.2351014,19.69652268,119,-1.453068431,101.2351014,19.69652268,1
102.4459216,19.49453202,144,-1.440314594,102.4459216,19.49453202,1
101.4484508,21.08680213,314,-1.434743194,101.4484508,21.08680213,1
100.6564891,21.03327265,117,-1.421749911,100.6564891,21.03327265,1
104.4168179,20.67463044,103,-1.415345758,104.4168179,20.67463044,1
102.7714472,19.87764803,15,-1.414353716,102.7714472,19.87764803,1
104.0604346,20.38123146,324,-1.4072053,104.0604346,20.38123146,1
101.935731,20.63244093,415,-0.223092119,101.935731,20.63244093,1
