map_name,map_value,count
a_coded05_10,1,84408872
a_coded05_10,2,9182406
a_coded05_10,3,1979235
a_coded05_10,4,858941
a_coded10_15,1,82700950
a_coded10_15,2,9182406
a_coded10_15,3,3097660
a_coded10_15,4,1448438
a_ccdc_class_2005_2010_v11,0,12792
a_ccdc_class_2005_2010_v11,1,62665154
a_ccdc_class_2005_2010_v11,2,11165801
a_ccdc_class_2005_2010_v11,3,5872482
a_ccdc_class_2005_2010_v11,4,4033474
a_ccdc_class_2005_2010_v11,5,12691430
a_ccdc_class_2010_2015_v11,0,12792
a_ccdc_class_2010_2015_v11,1,62233761
a_ccdc_class_2010_2015_v11,2,10091812
a_ccdc_class_2010_2015_v11,3,5538856
a_ccdc_class_2010_2015_v11,4,4251873
a_ccdc_class_2010_2015_v11,5,14312039
a_frel_change0510,11,5729441
a_frel_change0510,12,3205
a_frel_change0510,14,4314
a_frel_change0510,15,1961
a_frel_change0510,21,686
a_frel_change0510,22,45962227
a_frel_change0510,24,1087207
a_frel_change0510,25,366224
a_frel_change0510,33,204429
a_frel_change0510,34,577
a_frel_change0510,35,806
a_frel_change0510,41,2
a_frel_change0510,42,513624
a_frel_change0510,43,567
a_frel_change0510,44,30507120
a_frel_change0510,45,2864658
a_frel_change0510,54,2122969
a_frel_change0510,55,7059437
a_frel_change1015,11,5716109
a_frel_change1015,12,1772
a_frel_change1015,13,88
a_frel_change1015,14,3749
a_frel_change1015,15,8411
a_frel_change1015,22,44654177
a_frel_change1015,23,2347
a_frel_change1015,24,1354125
a_frel_change1015,25,468407
a_frel_change1015,33,201305
a_frel_change1015,34,1735
a_frel_change1015,35,1956
a_frel_change1015,42,479351
a_frel_change1015,43,574
a_frel_change1015,44,32155435
a_frel_change1015,45,1086827
a_frel_change1015,54,1776862
a_frel_change1015,55,8516224
a_erpd_fcdm_2005_2014,0,53123163
a_erpd_fcdm_2005_2014,2005,3190829
a_erpd_fcdm_2005_2014,2006,2668549
a_erpd_fcdm_2005_2014,2007,2322513
a_erpd_fcdm_2005_2014,2008,2625971
a_erpd_fcdm_2005_2014,2009,3870698
a_erpd_fcdm_2005_2014,2010,6205020
a_erpd_fcdm_2005_2014,2011,4395364
a_erpd_fcdm_2005_2014,2012,4327903
a_erpd_fcdm_2005_2014,2013,5693513
a_erpd_fcdm_2005_2014,2014,8017610
