map_name,map_value,count
a_coded05_10,0,37696929
a_coded05_10,1,6811439
a_coded05_10,2,1467272
a_coded05_10,3,1472737
a_coded05_10,4,659591
a_coded10_15,0,28716494
a_coded10_15,1,12805093
a_coded10_15,2,2401569
a_coded10_15,3,2853758
a_coded10_15,4,1331054
a_ccdc_class_2005_2010_v11,0,12792
a_ccdc_class_2005_2010_v11,1,62665154
a_ccdc_class_2005_2010_v11,2,11165801
a_ccdc_class_2005_2010_v11,3,5872482
a_ccdc_class_2005_2010_v11,4,4033474
a_ccdc_class_2005_2010_v11,5,12691430
a_ccdc_class_2010_2015_v11,0,12792
a_ccdc_class_2010_2015_v11,1,62233761
a_ccdc_class_2010_2015_v11,2,10091812
a_ccdc_class_2010_2015_v11,3,5538856
a_ccdc_class_2010_2015_v11,4,4251873
a_ccdc_class_2010_2015_v11,5,14312039
a_frel_change0510,11,5729441
a_frel_change0510,12,3205
a_frel_change0510,14,4314
a_frel_change0510,15,1961
a_frel_change0510,21,686
a_frel_change0510,22,45962227
a_frel_change0510,24,1087207
a_frel_change0510,25,366224
a_frel_change0510,33,204429
a_frel_change0510,34,577
a_frel_change0510,35,806
a_frel_change0510,41,2
a_frel_change0510,42,513624
a_frel_change0510,43,567
a_frel_change0510,44,30507120
a_frel_change0510,45,2864658
a_frel_change0510,54,2122969
a_frel_change0510,55,7059437
a_frel_change1015,11,5716109
a_frel_change1015,12,1772
a_frel_change1015,13,88
a_frel_change1015,14,3749
a_frel_change1015,15,8411
a_frel_change1015,22,44654177
a_frel_change1015,23,2347
a_frel_change1015,24,1354125
a_frel_change1015,25,468407
a_frel_change1015,33,201305
a_frel_change1015,34,1735
a_frel_change1015,35,1956
a_frel_change1015,42,479351
a_frel_change1015,43,574
a_frel_change1015,44,32155435
a_frel_change1015,45,1086827
a_frel_change1015,54,1776862
a_frel_change1015,55,8516224
a_erpd_fcdm_2005_2014,0,53123163
a_erpd_fcdm_2005_2014,2005,3190829
a_erpd_fcdm_2005_2014,2006,2668549
a_erpd_fcdm_2005_2014,2007,2322513
a_erpd_fcdm_2005_2014,2008,2625971
a_erpd_fcdm_2005_2014,2009,3870698
a_erpd_fcdm_2005_2014,2010,6205020
a_erpd_fcdm_2005_2014,2011,4395364
a_erpd_fcdm_2005_2014,2012,4327903
a_erpd_fcdm_2005_2014,2013,5693513
a_erpd_fcdm_2005_2014,2014,8017610
a_ccdc_0510_buffer_disturbance_1px,0,12792
a_ccdc_0510_buffer_disturbance_1px,1,48836657
a_ccdc_0510_buffer_disturbance_1px,2,12691430
a_ccdc_0510_buffer_disturbance_1px,3,17038283
a_ccdc_0510_buffer_disturbance_1px,4,4033474
a_ccdc_0510_buffer_disturbance_1px,5,13828497
a_ccdc_1015_buffer_disturbance_1px,0,12792
a_ccdc_1015_buffer_disturbance_1px,1,49107894
a_ccdc_1015_buffer_disturbance_1px,2,14312039
a_ccdc_1015_buffer_disturbance_1px,3,15630668
a_ccdc_1015_buffer_disturbance_1px,4,4251873
a_ccdc_1015_buffer_disturbance_1px,5,13125867
a_coded_0510_buffer_disturbance_1px,1,76038924
a_coded_0510_buffer_disturbance_1px,2,9182406
a_coded_0510_buffer_disturbance_1px,3,2838176
a_coded_0510_buffer_disturbance_1px,5,8369948
a_coded_1015_buffer_disturbance_1px,1,73015280
a_coded_1015_buffer_disturbance_1px,2,9182406
a_coded_1015_buffer_disturbance_1px,3,4546098
a_coded_1015_buffer_disturbance_1px,5,9685670
a_fcdm_0510_buffer_disturbance_1px,1,40099588
a_fcdm_0510_buffer_disturbance_1px,2,8134167
a_fcdm_0510_buffer_disturbance_1px,3,13364580
a_fcdm_0510_buffer_disturbance_1px,5,34831119
a_fcdm_1015_buffer_disturbance_1px,1,32692156
a_fcdm_1015_buffer_disturbance_1px,2,8091799
a_fcdm_1015_buffer_disturbance_1px,3,20566872
a_fcdm_1015_buffer_disturbance_1px,5,35078627
a_frel_0510_buffer_disturbance_1px,0,216547
a_frel_0510_buffer_disturbance_1px,1,78379394
a_frel_0510_buffer_disturbance_1px,2,7059437
a_frel_0510_buffer_disturbance_1px,3,4318089
a_frel_0510_buffer_disturbance_1px,4,2636593
a_frel_0510_buffer_disturbance_1px,5,3819394
a_frel_1015_buffer_disturbance_1px,0,221937
a_frel_1015_buffer_disturbance_1px,1,79064595
a_frel_1015_buffer_disturbance_1px,2,8516224
a_frel_1015_buffer_disturbance_1px,3,2909359
a_frel_1015_buffer_disturbance_1px,4,2256213
a_frel_1015_buffer_disturbance_1px,5,3461126
a_ccdc_0510_buffer_disturbance_2px,0,12792
a_ccdc_0510_buffer_disturbance_2px,1,38629502
a_ccdc_0510_buffer_disturbance_2px,2,12691430
a_ccdc_0510_buffer_disturbance_2px,3,17038283
a_ccdc_0510_buffer_disturbance_2px,4,4033474
a_ccdc_0510_buffer_disturbance_2px,5,24035652
a_ccdc_1015_buffer_disturbance_2px,0,12792
a_ccdc_1015_buffer_disturbance_2px,1,39402549
a_ccdc_1015_buffer_disturbance_2px,2,14312039
a_ccdc_1015_buffer_disturbance_2px,3,15630668
a_ccdc_1015_buffer_disturbance_2px,4,4251873
a_ccdc_1015_buffer_disturbance_2px,5,22831212
a_coded_0510_buffer_disturbance_2px,1,67309836
a_coded_0510_buffer_disturbance_2px,2,9182406
a_coded_0510_buffer_disturbance_2px,3,2838176
a_coded_0510_buffer_disturbance_2px,5,17099036
a_coded_1015_buffer_disturbance_2px,1,64018441
a_coded_1015_buffer_disturbance_2px,2,9182406
a_coded_1015_buffer_disturbance_2px,3,4546098
a_coded_1015_buffer_disturbance_2px,5,18682509
a_fcdm_0510_buffer_disturbance_2px,1,19297620
a_fcdm_0510_buffer_disturbance_2px,2,8134167
a_fcdm_0510_buffer_disturbance_2px,3,13364580
a_fcdm_0510_buffer_disturbance_2px,5,55633087
a_fcdm_1015_buffer_disturbance_2px,1,15797043
a_fcdm_1015_buffer_disturbance_2px,2,8091799
a_fcdm_1015_buffer_disturbance_2px,3,20566872
a_fcdm_1015_buffer_disturbance_2px,5,51973740
a_frel_0510_buffer_disturbance_2px,0,216547
a_frel_0510_buffer_disturbance_2px,1,74558572
a_frel_0510_buffer_disturbance_2px,2,7059437
a_frel_0510_buffer_disturbance_2px,3,4318089
a_frel_0510_buffer_disturbance_2px,4,2636593
a_frel_0510_buffer_disturbance_2px,5,7640216
a_frel_1015_buffer_disturbance_2px,0,221937
a_frel_1015_buffer_disturbance_2px,1,75432605
a_frel_1015_buffer_disturbance_2px,2,8516224
a_frel_1015_buffer_disturbance_2px,3,2909359
a_frel_1015_buffer_disturbance_2px,4,2256213
a_frel_1015_buffer_disturbance_2px,5,7093116
