map_name,map_value,count
a_coded05_10,1,84408872
a_coded05_10,2,9182406
a_coded05_10,3,1979235
a_coded05_10,4,858941
a_ccdc_class_2005_2010_v11,0,12792
a_ccdc_class_2005_2010_v11,1,62665154
a_ccdc_class_2005_2010_v11,2,11165801
a_ccdc_class_2005_2010_v11,3,5872482
a_ccdc_class_2005_2010_v11,4,4033474
a_ccdc_class_2005_2010_v11,5,12691430
a_frel_change0510,11,5729441
a_frel_change0510,12,3205
a_frel_change0510,14,4314
a_frel_change0510,15,1961
a_frel_change0510,21,686
a_frel_change0510,22,45962227
a_frel_change0510,24,1087207
a_frel_change0510,25,366224
a_frel_change0510,33,204429
a_frel_change0510,34,577
a_frel_change0510,35,806
a_frel_change0510,41,2
a_frel_change0510,42,513624
a_frel_change0510,43,567
a_frel_change0510,44,30507120
a_frel_change0510,45,2864658
a_frel_change0510,54,2122969
a_frel_change0510,55,7059437
a_erpd_fcdm_2005_2014,0,53123163
a_erpd_fcdm_2005_2014,2005,3190829
a_erpd_fcdm_2005_2014,2006,2668549
a_erpd_fcdm_2005_2014,2007,2322513
a_erpd_fcdm_2005_2014,2008,2625971
a_erpd_fcdm_2005_2014,2009,3870698
a_erpd_fcdm_2005_2014,2010,6205020
a_erpd_fcdm_2005_2014,2011,4395364
a_erpd_fcdm_2005_2014,2012,4327903
a_erpd_fcdm_2005_2014,2013,5693513
a_erpd_fcdm_2005_2014,2014,8017610
