LON,LAT,PLOTID,SAMPLEID,frel_change0510,frel_change1015,coded_2000_2010,coded_2009_2015,coded_last_change,coded_updated_2010_2015,coded_updated_2005_2010,fcdm,ccdc_2005_2010,ccdc_2010_2015,ccdc_0510_buffer_disturbance_1px,ccdc_1015_buffer_disturbance_1px,coded_0510_buffer_disturbance_1px,coded_1015_buffer_disturbance_1px,fcdm_0510_buffer_disturbance_1px,fcdm_1015_buffer_disturbance_1px,frel_0510_buffer_disturbance_1px,frel_1015_buffer_disturbance_1px,ccdc_0510_buffer_disturbance_2px,ccdc_1015_buffer_disturbance_2px,coded_0510_buffer_disturbance_2px,coded_1015_buffer_disturbance_2px,fcdm_0510_buffer_disturbance_2px,fcdm_1015_buffer_disturbance_2px,frel_0510_buffer_disturbance_2px,frel_1015_buffer_disturbance_2px
102.51478311012504,19.599879441840834,11,11,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,5,1,1,5,1,1,1,5,5,1,1
100.85504511462324,21.159347940327883,18,18,22,22,1,1,0,1,1,0,1,1,5,5,1,1,1,5,5,1,5,5,1,5,1,5,5,1
103.135042443615,20.67830631492172,19,19,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,5,1,5
102.37399260157859,20.58875650877772,20,20,44,44,1,1,0,1,1,0,1,1,5,5,5,1,5,1,1,1,5,5,5,5,5,5,1,1
101.71049813132264,19.882116881676748,21,21,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1
101.41454390163614,19.02801963400252,24,24,11,11,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,1,1
103.22054894633966,20.753187830340053,29,29,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1
101.54413037426222,20.952607900646882,36,36,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102.67907235508073,20.156669592928104,37,37,22,22,1,1,0,1,1,0,1,1,1,5,1,1,5,3,1,5,5,5,5,5,5,3,1,5
104.88597443914364,20.08844065356902,38,38,44,44,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,1,1
102.5884587536466,20.4320483207928,39,39,44,44,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1
101.17796248138333,21.007299375561004,48,48,11,11,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1
100.29049265483043,20.5513231923991,51,51,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1
101.46267959195153,18.66049373622752,52,52,11,11,1,1,0,1,1,0,1,1,1,1,1,1,5,5,1,1,1,1,1,1,5,5,1,1
101.2127676387941,21.02133924800751,53,53,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,5,5,1,1,5,5,1,1
104.01850107473389,20.234293302356487,54,54,22,22,1,1,0,1,1,0,1,1,1,5,1,1,5,3,1,1,5,5,1,1,5,3,5,5
101.41928080181165,19.270124633073042,55,55,11,11,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1
104.06572499165668,20.594790335410117,56,56,22,22,1,1,0,1,1,0,1,1,1,1,1,1,3,1,1,1,1,5,5,5,3,5,5,1
100.79243140379955,20.561562605041296,59,59,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1
104.22117031511752,20.53836558386952,60,60,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1
100.15902350026168,20.432792837538404,63,63,11,11,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104.16237931413539,20.659797515222714,65,65,22,22,1,1,0,1,1,0,1,1,1,5,1,1,5,1,1,1,1,5,1,1,5,1,1,1
101.46578478479236,18.83869000523031,66,66,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1
101.15204483270207,21.472972445637623,68,68,22,22,1,1,0,1,1,0,1,1,1,5,1,1,5,5,1,1,5,5,1,1,5,5,1,5
101.09201568486495,18.414166629780116,70,70,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1
101.22007255801752,18.586742567757234,74,74,22,22,1,1,0,1,1,0,1,1,1,1,1,1,3,5,1,1,5,1,1,1,3,5,1,1
104.34253734745016,20.755722022493778,79,79,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,5,1
102.29932110783253,19.406619802935133,81,81,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1
102.89384149373036,20.983854000946188,83,83,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1
101.47709142959572,18.84188236460219,85,85,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,1,1
101.89656294084031,19.496048847860898,86,86,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1
100.7612921983126,20.83429695250296,89,89,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,1,1
104.65457121703759,19.74790991579271,90,90,22,22,1,1,0,1,1,0,1,1,5,5,1,1,5,3,1,1,5,5,1,1,5,3,5,1
103.36971218659268,20.32540259723306,92,92,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1
102.71485626911698,19.603070820603335,102,102,22,22,1,1,0,1,1,0,1,1,5,1,1,1,5,5,1,1,5,1,1,1,5,5,1,1
103.57197022623198,20.357526670369246,104,104,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,1,1
101.01677226785466,19.933421253782985,112,112,44,44,1,1,0,1,1,0,1,1,5,5,5,5,5,1,1,1,5,5,5,5,5,1,1,1
102.24951969611452,20.855497116956418,113,113,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,1,1
101.85552581894149,19.828686249448474,118,118,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,5,1,1
101.23498192690951,19.696493314258387,119,119,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,5,1,1
101.84134284806295,20.547624684411936,120,120,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101.75121196329357,18.768612009595383,122,122,11,11,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,5,1,1
102.72216555348876,20.98624954444101,123,123,44,44,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,5,1
101.48367566966982,20.950017347924607,132,132,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1
102.41126750763421,20.04376721908833,135,135,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1
101.59691901750894,19.866714394794187,137,137,22,22,1,1,0,1,1,0,1,1,5,1,1,1,3,5,1,1,5,1,5,5,3,5,1,1
101.39816094259528,19.048544887583372,139,139,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,1,1
104.49715497838652,19.634758732136874,143,143,22,22,1,1,0,1,1,0,1,1,1,1,1,1,3,5,1,1,1,1,1,1,3,5,1,1
102.17574163480464,20.24654391729322,148,148,44,44,1,1,0,1,1,0,1,1,1,1,1,1,5,5,1,1,1,1,1,1,5,5,1,1
101.42765866201833,19.98791792967248,149,149,22,22,1,1,0,1,1,0,1,1,1,1,1,1,3,1,1,1,1,5,1,1,3,5,1,1
103.2037449529794,20.143024782482385,150,150,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1
102.83132506660709,21.018018506169504,154,154,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,5,3,1,1
101.13334647384637,20.081055017060052,162,162,22,22,1,1,0,1,1,0,1,1,1,1,1,1,3,5,1,1,5,5,5,1,3,5,1,1
101.77032915221886,21.141424685976226,171,171,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1
101.38072873704097,18.906897031553367,174,174,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1
101.6546958291605,20.78804736664769,175,175,22,22,1,1,0,1,1,0,1,1,5,5,1,1,5,1,1,1,5,5,1,1,5,5,1,1
104.01522276779417,20.659291352271737,179,179,22,22,1,1,0,1,1,0,1,1,1,1,1,1,3,5,1,1,1,1,1,1,3,5,1,1
104.85673459819974,20.05615871326514,190,190,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,5,1,1
100.86332083834358,20.16610468051967,195,195,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1
102.41521938699061,20.134842665617022,197,197,22,22,1,1,0,1,1,0,1,1,1,5,1,1,1,5,1,1,5,5,5,5,5,5,1,1
102.97556995778399,20.805479144349285,201,201,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,5,1,5,1,1,1
102.56566642554131,20.583163582059655,207,207,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104.91291408952094,20.14972386403285,216,216,22,22,1,1,0,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1
101.41642396561988,20.833579107215954,222,222,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1
101.86823547629747,20.09807441534003,223,223,44,44,1,1,0,1,1,0,1,1,1,5,1,1,1,5,1,1,5,5,1,5,5,5,1,1
101.52126172635853,19.68765966242479,227,227,11,11,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1
100.92539162424707,20.159167479070515,231,231,44,44,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1
101.98444365009391,20.971531991228602,236,236,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1
101.04384340561298,20.913312998817588,248,248,11,11,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1
103.1910932376296,20.46672597135921,250,250,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,5,1,1
102.55049215231868,20.614643998917366,251,251,44,44,1,1,0,1,1,0,1,1,1,5,1,1,1,5,1,1,5,5,1,1,1,5,1,1
102.7994630440339,20.84882496349157,253,253,22,22,1,1,0,1,1,0,1,1,5,1,1,1,1,5,1,1,5,1,1,1,5,5,1,1
101.67845108187086,20.221852169131168,256,256,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1
103.08744351003297,20.524146018303306,258,258,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1
104.77531230649925,19.814251880588237,265,265,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1
100.71407436992148,20.85557216318391,270,270,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5,1,1,1
101.59919118571548,20.977268008276912,274,274,11,11,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1
101.83917070535826,19.917485444997784,276,276,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,5,1,1,5,5,1,1
102.46058087944483,19.683645481292697,277,277,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,5,5,1,1,5,5,1,1
102.09404717322172,19.471974675219556,282,282,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,5,1,1,1,1,1,1,5,5,1,1
101.87217281676703,20.47344963572611,287,287,22,22,1,1,0,1,1,0,1,1,1,1,1,1,3,5,1,1,1,1,1,1,3,5,1,1
103.09731053569512,19.903169491543633,288,288,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,5,1,1
