LON,LAT,PLOTID,SAMPLEID,frel_change0510,frel_change1015,coded_2000_2010,coded_2009_2015,coded_last_change,coded_updated_2010_2015,coded_updated_2005_2010,fcdm,ccdc_2005_2010,ccdc_2010_2015
102.5147831,19.59987944,11,11,22,22,1,1,0,1,1,0,1,1
100.8550451,21.15934794,18,18,22,22,1,1,0,1,1,0,1,1
103.1350424,20.67830631,19,19,22,22,1,1,0,1,1,0,1,1
102.3739926,20.58875651,20,20,44,44,1,1,0,1,1,0,1,1
101.7104981,19.88211688,21,21,22,22,1,1,0,1,1,0,1,1
101.4145439,19.02801963,24,24,11,11,1,1,0,1,1,0,1,1
103.2205489,20.75318783,29,29,22,22,1,1,0,1,1,0,1,1
101.5441304,20.9526079,36,36,22,22,1,1,0,1,1,0,1,1
102.6790724,20.15666959,37,37,22,22,1,1,0,1,1,0,1,1
104.8859744,20.08844065,38,38,44,44,1,1,0,1,1,0,1,1
102.5884588,20.43204832,39,39,44,44,1,1,0,1,1,0,1,1
101.1779625,21.00729938,48,48,11,11,1,1,0,1,1,0,1,1
100.2904927,20.55132319,51,51,22,22,1,1,0,1,1,0,1,1
101.4626796,18.66049374,52,52,11,11,1,1,0,1,1,0,1,1
101.2127676,21.02133925,53,53,22,22,1,1,0,1,1,0,1,1
104.0185011,20.2342933,54,54,22,22,1,1,0,1,1,0,1,1
101.4192808,19.27012463,55,55,11,11,1,1,0,1,1,0,1,1
104.065725,20.59479034,56,56,22,22,1,1,0,1,1,0,1,1
100.7924314,20.56156261,59,59,22,22,1,1,0,1,1,0,1,1
104.2211703,20.53836558,60,60,22,22,1,1,0,1,1,0,1,1
100.1590235,20.43279284,63,63,11,11,1,1,0,1,1,0,1,1
104.1623793,20.65979752,65,65,22,22,1,1,0,1,1,0,1,1
101.4657848,18.83869001,66,66,22,22,1,1,0,1,1,0,1,1
101.1520448,21.47297245,68,68,22,22,1,1,0,1,1,0,1,1
101.0920157,18.41416663,70,70,22,22,1,1,0,1,1,0,1,1
101.2200726,18.58674257,74,74,22,22,1,1,0,1,1,0,1,1
104.3425373,20.75572202,79,79,22,22,1,1,0,1,1,0,1,1
102.2993211,19.4066198,81,81,22,22,1,1,0,1,1,0,1,1
102.8938415,20.983854,83,83,22,22,1,1,0,1,1,0,1,1
101.4770914,18.84188236,85,85,22,22,1,1,0,1,1,0,1,1
101.8965629,19.49604885,86,86,22,22,1,1,0,1,1,0,1,1
100.7612922,20.83429695,89,89,22,22,1,1,0,1,1,0,1,1
104.6545712,19.74790992,90,90,22,22,1,1,0,1,1,0,1,1
103.3697122,20.3254026,92,92,22,22,1,1,0,1,1,0,1,1
102.7148563,19.60307082,102,102,22,22,1,1,0,1,1,0,1,1
103.5719702,20.35752667,104,104,22,22,1,1,0,1,1,0,1,1
101.0167723,19.93342125,112,112,44,44,1,1,0,1,1,0,1,1
102.2495197,20.85549712,113,113,22,22,1,1,0,1,1,0,1,1
101.8555258,19.82868625,118,118,22,22,1,1,0,1,1,0,1,1
101.2349819,19.69649331,119,119,22,22,1,1,0,1,1,0,1,1
101.8413428,20.54762468,120,120,22,22,1,1,0,1,1,0,1,1
