"LON","LAT","PLOTID","plot_id","strata_coded_year","O_LC","O_Change","O_Ch_type","O_deg_driver","O_def_type","O_yrChange","Confidence","FINAL"
105.0822719,16.26574993,0,140738419,2017,"forest","no","forest","","",NA,"medium","stable forest"
104.9410567,16.9941938,1,140738422,2019,"forest","no","forest","","",NA,"low","stable forest"
105.1380573,16.58833495,0,140738423,2019,"forest","no","forest","","",NA,"medium","stable forest"
105.8317363,16.04206943,0,140738425,2019,"forest","no","forest","","",NA,"low","stable forest"
104.9119513,16.99931419,1,140738426,2019,"forest","no","forest","","",NA,"medium","stable forest"
105.8047869,16.04799831,0,140738427,2019,"forest","no","forest","","",NA,"medium","stable forest"
105.1747085,16.78156257,0,140738429,2015,"forest","no","forest","","",NA,"low","stable forest"
105.6045524,16.00622665,1,140738430,2019,"forest","no","forest","","",NA,"low","stable forest"
104.8669457,16.51584091,0,140738433,2019,"forest","no","forest","","",NA,"medium","stable forest"
105.2345363,16.32935066,0,140738439,2015,"forest","no","forest","","",NA,"medium","stable forest"
106.4275889,16.14501636,1,140738440,2015,"forest","no","forest","","",NA,"low","stable forest"
104.7685802,16.83896492,0,140738441,2016,"forest","no","forest","","",NA,"medium","stable forest"
105.9198611,16.51476293,1,140738444,2019,"forest","no","forest","","",NA,"medium","stable forest"
104.9192277,16.71984831,0,140738447,2019,"forest","no","forest","","",NA,"medium","stable forest"
