"LON","LAT","PLOTID","plot_id","strata_coded_year","O_LC","O_Change","O_Ch_type","O_deg_driver","O_def_type","O_yrChange","Confidence","FINAL"
106.1907031,16.83573098,126,139378048,2016,"forest","yes","forest degradation","shifting agriculture","",2015,"high","degradation"
106.4909201,16.2326021,133,139378055,2015,"forest","yes","forest degradation","shifting agriculture","",2018,"medium","degradation"
106.2284324,16.61151149,139,139378061,2015,"forest","no","","","",NA,"high","degradation"
106.495232,16.21589344,144,139378066,2017,"forest","no","","","",NA,"medium","degradation"
105.6282679,16.12992466,145,139378067,2017,"forest","no","","","",NA,"high","degradation"
106.6353692,16.30267069,147,139378069,2018,"forest","yes","forest degradation","shifting agriculture","",2018,"medium","degradation"
105.9567818,16.80770354,149,139378071,2015,"forest","no","","","",NA,"high","degradation"
105.7301369,16.57135679,196,140738329,2016,"forest","yes","forest degradation","selective logging","",2017,"high","degradation"
106.3168266,16.57459073,197,140738330,2015,"forest","yes","forest degradation","selective logging","",2019,"high","degradation"
105.8629977,17.01790932,213,140738346,2017,"non-forest","yes","forest degradation","shifting agriculture","",2017,"high","degradation"
106.2553818,16.44092141,218,140738351,2016,"non-forest","yes","forest degradation","shifting agriculture","",2016,"high","degradation"
