"LON","LAT","PLOTID","plot_id","strata_coded_year","O_LC","O_Change","O_Ch_type","O_deg_driver","O_def_type","O_yrChange","Confidence","FINAL"
106.543741,16.8397734,50,139377972,0,"forest","no","","","",NA,"high","degradation"
105.8357788,16.69370734,52,139377974,0,"forest","yes","forest degradation","selective logging","",2011,"medium","degradation"
105.3447596,16.72928062,53,139377975,0,"forest","yes","forest degradation","selective logging","",2016,"medium","degradation"
105.9317188,16.17897268,54,139377976,0,"forest","yes","forest degradation","selective logging","",2015,"medium","degradation"
106.3831223,16.81875282,57,139377979,0,"forest","no","","","",NA,"high","degradation"
105.8794369,16.99554127,63,139377985,0,"forest","no","","","",NA,"medium","degradation"
105.7692136,16.84031239,64,139377986,0,"forest","yes","forest degradation","selective logging","",2017,"high","degradation"
105.8026309,17.04566726,65,139377987,0,"forest","yes","forest degradation","shifting agriculture","",2011,"high","degradation"
106.4313618,16.30320968,66,139377988,0,"forest","yes","forest degradation","shifting agriculture","",2012,"high","degradation"
106.070778,16.94272033,67,139377989,0,"forest","yes","forest degradation","shifting agriculture","",2010,"high","degradation"
105.2334584,16.98368351,68,139377990,0,"forest","yes","forest degradation","selective logging","",2010,"medium","degradation"
106.2251984,17.01817882,69,139377991,0,"forest","yes","forest degradation","shifting agriculture","",2011,"high","degradation"
104.8036145,16.84947521,167,139430122,0,"forest","yes","forest degradation","shifting agriculture","",2010,"medium","degradation"
106.3187131,16.72658567,173,139430128,0,"forest","yes","forest degradation","shifting agriculture","",2013,"high","degradation"
106.1411161,16.96185445,174,139430129,0,"forest","yes","forest degradation","shifting agriculture","",2012,"high","degradation"
105.2342669,16.89070788,246,140738389,0,"non-forest","yes","forest degradation","selective logging","",2019,"medium","degradation"
105.773256,16.66460192,250,140738393,0,"non-forest","yes","forest degradation","selective logging","",2019,"high","degradation"
105.8357788,16.40723459,251,140738394,0,"non-forest","yes","forest degradation","selective logging","",2016,"high","degradation"
105.6538699,15.9439734,253,140738396,0,"non-forest","yes","forest degradation","selective logging","",2019,"low","degradation"
104.8475421,16.72658567,258,140738401,0,"non-forest","yes","forest degradation","selective logging","",2013,"high","degradation"
105.7371437,16.41531943,260,140738403,0,"non-forest","yes","forest degradation","other","",2019,"low","degradation"
105.6118288,16.67726817,268,140738411,0,"forest","yes","forest degradation","other","",2019,"high","degradation"
