strata_coded,strata_coded_year,strata_fcdm,strata_frel_2015,strata_frel_2019,strata_out_v1,strata_out_v2,svk_forests,plot_id
303,2019,300,300,300,331,333,3,140738433
303,2016,300,300,300,331,333,3,140738434
303,2017,300,300,300,331,333,3,140738435
303,2019,300,300,300,331,333,3,140738436
303,2015,300,300,300,331,333,3,140738437
303,2018,300,300,300,331,333,3,140738438
303,2015,300,300,300,331,333,3,140738439
303,2015,300,300,300,331,333,3,140738440
303,2016,300,300,300,331,333,3,140738441
303,2018,300,300,300,331,333,3,140738442
303,2019,300,300,300,331,333,3,140738443
303,2019,300,300,300,331,333,3,140738444
303,2015,300,300,300,331,333,3,140738445
303,2017,300,300,300,331,333,3,140738446
303,2019,300,300,300,331,333,3,140738447
300,0,311,300,300,311,311,3,139342225
300,0,311,300,300,311,311,3,139342226
300,0,311,300,300,311,311,3,139342227
300,0,311,300,300,311,311,3,139342228
300,0,311,300,300,311,311,3,139342229
300,0,311,300,300,311,311,3,139342230
300,0,311,300,300,311,311,3,139342231
300,0,311,300,300,311,311,3,139342232
300,0,311,300,300,311,311,3,139342233
300,0,311,300,300,311,311,3,139342234
300,0,300,313,300,321,321,3,139342235
300,0,300,313,300,321,321,3,139342236
300,0,300,313,300,321,321,3,139342237
300,0,300,313,300,321,321,3,139342238
300,0,300,313,300,321,321,3,139342239
300,0,300,313,300,321,321,3,139342240
300,0,300,313,300,321,321,3,139342241
300,0,300,313,300,321,321,3,139342242
300,0,300,313,300,321,321,3,139342243
300,0,300,313,300,321,321,3,139342244
304,2018,300,300,300,331,331,3,139342245
304,2017,300,300,300,331,331,3,139342246
304,2019,300,300,300,331,331,3,139342247
304,2019,300,300,300,331,331,3,139342248
304,2019,300,300,300,331,331,3,139342249
304,2018,300,300,300,331,331,3,139342250
304,2017,300,300,300,331,331,3,139342251
304,2019,300,300,300,331,331,3,139342252
303,2016,300,300,300,331,333,3,139342253
304,2017,300,300,300,331,331,3,139342254
304,2019,311,300,300,341,341,3,139342255
304,2017,311,300,300,341,341,3,139342256
304,2017,311,300,300,341,341,3,139342257
304,2017,311,300,300,341,341,3,139342258
304,2017,311,300,300,341,341,3,139342259
304,2018,311,300,300,341,341,3,139342260
304,2019,311,300,300,341,341,3,139342261
304,2018,311,300,300,341,341,3,139342262
304,2016,311,300,300,341,341,3,139342263
304,2016,311,300,300,341,341,3,139342264
304,2017,311,300,300,341,341,3,139342265
304,2018,311,300,300,341,341,3,139342266
304,2016,311,300,300,341,341,3,139342267
304,2019,311,300,300,341,341,3,139342268
304,2019,311,300,300,341,341,3,139342269
304,2018,311,300,300,341,341,3,139342270
304,2019,311,300,300,341,341,3,139342271
304,2019,311,300,300,341,341,3,139342272
304,2016,311,300,300,341,341,3,139342273
304,2019,311,300,300,341,341,3,139342274
100,0,111,100,100,111,111,1,139378022
100,0,111,100,100,111,111,1,139378023
100,0,111,100,100,111,111,1,139378024
100,0,111,100,100,111,111,1,139378025
100,0,111,100,100,111,111,1,139378026
100,0,111,100,100,111,111,1,139378027
100,0,111,100,100,111,111,1,139378028
100,0,111,100,100,111,111,1,139378029
100,0,111,100,100,111,111,1,139378030
100,0,111,100,100,111,111,1,139378031
100,0,100,122,100,121,121,1,139378032
100,0,100,122,100,121,121,1,139378033
100,0,100,122,100,121,121,1,139378034
100,0,100,122,100,121,121,1,139378035
100,0,100,122,100,121,121,1,139378036
100,0,100,122,100,121,121,1,139378037
100,0,100,122,100,121,121,1,139378038
100,0,100,122,100,121,121,1,139378039
100,0,100,122,100,121,121,1,139378040
100,0,100,112,100,121,121,1,139378041
104,2015,100,100,100,131,131,1,139378042
104,2018,100,100,100,131,131,1,139378043
104,2018,100,100,100,131,131,1,139378044
104,2017,100,100,100,131,131,1,139378045
104,2018,100,100,100,131,131,1,139378046
104,2018,100,100,100,131,131,1,139378047
103,2016,100,100,100,131,133,1,139378048
104,2017,100,100,100,131,131,1,139378049
104,2016,100,100,100,131,131,1,139378050
104,2015,100,100,100,131,131,1,139378051
104,2018,111,100,100,141,141,1,139378052
104,2016,111,100,100,141,141,1,139378053
104,2016,111,100,100,141,141,1,139378054
103,2015,111,100,100,141,141,1,139378055
104,2018,111,100,100,141,141,1,139378056
104,2016,111,100,100,141,141,1,139378057
104,2015,111,100,100,141,141,1,139378058
104,2018,111,100,100,141,141,1,139378059
104,2016,111,100,100,141,141,1,139378060
103,2015,111,100,100,141,141,1,139378061
103,2015,100,100,100,131,133,1,140738328
103,2016,100,100,100,131,133,1,140738329
103,2015,100,100,100,131,133,1,140738330
103,2015,100,100,100,131,133,1,140738331
103,2016,100,100,100,131,133,1,140738332
103,2017,100,100,100,131,133,1,140738333
103,2017,100,100,100,131,133,1,140738334
103,2015,100,100,100,131,133,1,140738335
103,2016,100,100,100,131,133,1,140738336
103,2018,100,100,100,131,133,1,140738337
103,2015,100,100,100,131,133,1,140738338
103,2017,100,100,100,131,133,1,140738339
103,2016,100,100,100,131,133,1,140738340
103,2016,100,100,100,131,133,1,140738341
103,2016,100,100,100,131,133,1,140738342
103,2017,100,100,100,131,133,1,140738343
103,2016,100,100,100,131,133,1,140738344
103,2016,100,100,100,131,133,1,140738345
103,2017,100,100,100,131,133,1,140738346
103,2015,100,100,100,131,133,1,140738347
103,2015,100,100,100,131,133,1,140738348
103,2015,100,100,100,131,133,1,140738349
103,2017,100,100,100,131,133,1,140738350
103,2016,100,100,100,131,133,1,140738351
103,2017,100,100,100,131,133,1,140738352
103,2016,100,100,100,131,133,1,140738353
103,2016,100,100,100,131,133,1,140738354
103,2016,100,100,100,131,133,1,140738355
103,2016,100,100,100,131,133,1,140738356
103,2015,100,100,100,131,133,1,140738357
203,2015,200,200,200,231,233,2,140738358
203,2016,200,200,200,231,233,2,140738359
203,2016,200,200,200,231,233,2,140738360
203,2016,200,200,200,231,233,2,140738361
203,2017,200,200,200,231,233,2,140738362
203,2018,200,200,200,231,233,2,140738363
203,2015,200,200,200,231,233,2,140738364
203,2015,200,200,200,231,233,2,140738365
203,2015,200,200,200,231,233,2,140738366
203,2019,200,200,200,231,233,2,140738367
203,2018,200,200,200,231,233,2,140738368
203,2017,200,200,200,231,233,2,140738369
203,2017,200,200,200,231,233,2,140738370
203,2015,200,200,200,231,233,2,140738371
203,2016,200,200,200,231,233,2,140738372
203,2015,200,200,200,231,233,2,140738373
203,2016,200,200,200,231,233,2,140738374
203,2015,200,200,200,231,233,2,140738375
203,2015,200,200,200,231,233,2,140738376
203,2017,200,200,200,231,233,2,140738377
203,2017,200,200,200,231,233,2,140738378
203,2016,200,200,200,231,233,2,140738379
203,2019,200,200,200,231,233,2,140738380
203,2015,200,200,200,231,233,2,140738381
203,2015,200,200,200,231,233,2,140738382
203,2016,200,200,200,231,233,2,140738383
203,2015,200,200,200,231,233,2,140738384
203,2017,200,200,200,231,233,2,140738385
203,2016,200,200,200,231,233,2,140738386
203,2018,200,200,200,231,233,2,140738387
200,0,211,200,200,251,251,2,140738388
200,0,211,200,200,251,251,2,140738389
200,0,211,200,200,251,251,2,140738390
200,0,211,200,200,251,251,2,140738391
200,0,211,200,200,251,251,2,140738392
200,0,211,200,200,251,251,2,140738393
200,0,211,200,200,251,251,2,140738394
204,2019,200,200,200,251,251,2,140738395
200,0,211,200,200,251,251,2,140738396
200,0,211,200,200,251,251,2,140738397
200,0,211,200,200,251,251,2,140738398
200,0,211,200,200,251,251,2,140738399
200,0,211,200,200,251,251,2,140738400
200,0,211,200,200,251,251,2,140738401
200,0,211,200,200,251,251,2,140738402
200,0,211,200,200,251,251,2,140738403
200,0,211,200,200,251,251,2,140738404
200,0,211,200,200,251,251,2,140738405
204,2018,200,200,200,251,251,2,140738406
200,0,211,200,200,251,251,2,140738407
200,0,211,200,200,251,251,2,140738408
200,0,211,200,200,251,251,2,140738409
200,0,211,200,200,251,251,2,140738410
200,0,211,200,200,251,251,2,140738411
200,0,211,200,200,251,251,2,140738412
200,0,211,200,200,251,251,2,140738413
200,0,211,200,200,251,251,2,140738414
200,2017,211,200,200,251,251,2,140738415
200,0,211,200,200,251,251,2,140738416
200,0,211,200,200,251,251,2,140738417
303,2017,300,300,300,331,333,3,140738418
303,2017,300,300,300,331,333,3,140738419
303,2019,300,300,300,331,333,3,140738420
303,2015,300,300,300,331,333,3,140738421
303,2019,300,300,300,331,333,3,140738422
303,2019,300,300,300,331,333,3,140738423
303,2016,300,300,300,331,333,3,140738424
303,2019,300,300,300,331,333,3,140738425
303,2019,300,300,300,331,333,3,140738426
303,2019,300,300,300,331,333,3,140738427
303,2015,300,300,300,331,333,3,140738428
303,2015,300,300,300,331,333,3,140738429
303,2019,300,300,300,331,333,3,140738430
303,2017,300,300,300,331,333,3,140738431
303,2017,300,300,300,331,333,3,140738432
104,2015,111,100,100,141,141,1,139378062
104,2019,111,100,100,141,141,1,139378063
104,2017,111,100,100,141,141,1,139378064
104,2016,111,100,100,141,141,1,139378065
103,2017,111,100,100,141,141,1,139378066
103,2017,111,100,100,141,141,1,139378067
104,2019,111,100,100,141,141,1,139378068
103,2018,111,100,100,141,141,1,139378069
104,2017,111,100,100,141,141,1,139378070
103,2015,111,100,100,141,141,1,139378071
200,0,211,200,200,211,211,2,139377972
200,0,211,200,200,211,211,2,139377973
200,0,211,200,200,211,211,2,139377974
200,0,211,200,200,211,211,2,139377975
200,0,211,200,200,211,211,2,139377976
200,0,211,200,200,211,211,2,139377977
200,0,211,200,200,211,211,2,139377978
200,0,211,200,200,211,211,2,139377979
200,0,211,200,200,211,211,2,139377980
200,0,211,200,200,211,211,2,139377981
200,0,200,222,200,221,221,2,139377982
