post_strat_coded,strata_coded,strata_coded_year,strata_fcdm,strata_frel_2015,strata_frel_2019,strata_out_v1,strata_out_v2,svk_forests,plot_id
333,303,2019,300,300,300,331,333,3,140738433
333,303,2016,300,300,300,331,333,3,140738434
333,303,2017,300,300,300,331,333,3,140738435
333,303,2019,300,300,300,331,333,3,140738436
333,303,2015,300,300,300,331,333,3,140738437
333,303,2018,300,300,300,331,333,3,140738438
333,303,2015,300,300,300,331,333,3,140738439
333,303,2015,300,300,300,331,333,3,140738440
333,303,2016,300,300,300,331,333,3,140738441
333,303,2018,300,300,300,331,333,3,140738442
333,303,2019,300,300,300,331,333,3,140738443
333,303,2019,300,300,300,331,333,3,140738444
333,303,2015,300,300,300,331,333,3,140738445
333,303,2017,300,300,300,331,333,3,140738446
333,303,2019,300,300,300,331,333,3,140738447
311,300,0,311,300,300,311,311,3,139342225
311,300,0,311,300,300,311,311,3,139342226
311,300,0,311,300,300,311,311,3,139342227
311,300,0,311,300,300,311,311,3,139342228
311,300,0,311,300,300,311,311,3,139342229
311,300,0,311,300,300,311,311,3,139342230
311,300,0,311,300,300,311,311,3,139342231
311,300,0,311,300,300,311,311,3,139342232
311,300,0,311,300,300,311,311,3,139342233
311,300,0,311,300,300,311,311,3,139342234
321,300,0,300,313,300,321,321,3,139342235
321,300,0,300,313,300,321,321,3,139342236
321,300,0,300,313,300,321,321,3,139342237
321,300,0,300,313,300,321,321,3,139342238
321,300,0,300,313,300,321,321,3,139342239
321,300,0,300,313,300,321,321,3,139342240
321,300,0,300,313,300,321,321,3,139342241
321,300,0,300,313,300,321,321,3,139342242
321,300,0,300,313,300,321,321,3,139342243
321,300,0,300,313,300,321,321,3,139342244
331,304,2018,300,300,300,331,331,3,139342245
331,304,2017,300,300,300,331,331,3,139342246
331,304,2019,300,300,300,331,331,3,139342247
331,304,2019,300,300,300,331,331,3,139342248
331,304,2019,300,300,300,331,331,3,139342249
331,304,2018,300,300,300,331,331,3,139342250
331,304,2017,300,300,300,331,331,3,139342251
331,304,2019,300,300,300,331,331,3,139342252
333,303,2016,300,300,300,331,333,3,139342253
331,304,2017,300,300,300,331,331,3,139342254
344,304,2019,311,300,300,341,341,3,139342255
344,304,2017,311,300,300,341,341,3,139342256
344,304,2017,311,300,300,341,341,3,139342257
344,304,2017,311,300,300,341,341,3,139342258
344,304,2017,311,300,300,341,341,3,139342259
344,304,2018,311,300,300,341,341,3,139342260
