strata_coded,strata_coded_v2,strata_coded_year,strata_fcdm,strata_frel_2015,strata_frel_2019,strata_out,svk_forests,plot_id
303,333,2019,300,300,300,331,300,140738433
303,333,2016,300,300,300,331,300,140738434
303,333,2017,300,300,300,331,300,140738435
303,333,2019,300,300,300,331,300,140738436
303,333,2015,300,300,300,331,300,140738437
303,333,2018,300,300,300,331,300,140738438
303,333,2015,300,300,300,331,300,140738439
303,333,2015,300,300,300,331,300,140738440
303,333,2016,300,300,300,331,300,140738441
303,333,2018,300,300,300,331,300,140738442
303,333,2019,300,300,300,331,300,140738443
303,333,2019,300,300,300,331,300,140738444
303,333,2015,300,300,300,331,300,140738445
303,333,2017,300,300,300,331,300,140738446
303,333,2019,300,300,300,331,300,140738447
300,311,0,311,300,300,311,300,139342225
300,311,0,311,300,300,311,300,139342226
300,311,0,311,300,300,311,300,139342227
300,311,0,311,300,300,311,300,139342228
300,311,0,311,300,300,311,300,139342229
300,311,0,311,300,300,311,300,139342230
300,311,0,311,300,300,311,300,139342231
300,311,0,311,300,300,311,300,139342232
300,311,0,311,300,300,311,300,139342233
300,311,0,311,300,300,311,300,139342234
300,321,0,300,313,300,321,300,139342235
300,321,0,300,313,300,321,300,139342236
300,321,0,300,313,300,321,300,139342237
300,321,0,300,313,300,321,300,139342238
300,321,0,300,313,300,321,300,139342239
300,321,0,300,313,300,321,300,139342240
300,321,0,300,313,300,321,300,139342241
300,321,0,300,313,300,321,300,139342242
300,321,0,300,313,300,321,300,139342243
300,321,0,300,313,300,321,300,139342244
304,331,2018,300,300,300,331,300,139342245
304,331,2017,300,300,300,331,300,139342246
304,331,2019,300,300,300,331,300,139342247
304,331,2019,300,300,300,331,300,139342248
304,331,2019,300,300,300,331,300,139342249
304,331,2018,300,300,300,331,300,139342250
304,331,2017,300,300,300,331,300,139342251
304,331,2019,300,300,300,331,300,139342252
303,333,2016,300,300,300,331,300,139342253
304,331,2017,300,300,300,331,300,139342254
304,341,2019,311,300,300,341,300,139342255
304,341,2017,311,300,300,341,300,139342256
304,341,2017,311,300,300,341,300,139342257
304,341,2017,311,300,300,341,300,139342258
304,341,2017,311,300,300,341,300,139342259
304,341,2018,311,300,300,341,300,139342260
304,341,2019,311,300,300,341,300,139342261
304,341,2018,311,300,300,341,300,139342262
304,341,2016,311,300,300,341,300,139342263
304,341,2016,311,300,300,341,300,139342264
304,341,2017,311,300,300,341,300,139342265
304,341,2018,311,300,300,341,300,139342266
304,341,2016,311,300,300,341,300,139342267
304,341,2019,311,300,300,341,300,139342268
304,341,2019,311,300,300,341,300,139342269
304,341,2018,311,300,300,341,300,139342270
304,341,2019,311,300,300,341,300,139342271
304,341,2019,311,300,300,341,300,139342272
304,341,2016,311,300,300,341,300,139342273
304,341,2019,311,300,300,341,300,139342274
100,111,0,111,100,100,111,100,139378022
100,111,0,111,100,100,111,100,139378023
100,111,0,111,100,100,111,100,139378024
100,111,0,111,100,100,111,100,139378025
100,111,0,111,100,100,111,100,139378026
100,111,0,111,100,100,111,100,139378027
100,111,0,111,100,100,111,100,139378028
