post_strat_coded,strata_coded,strata_coded_year,strata_fcdm,strata_frel_2015,strata_frel_2019,strata_out_v1,strata_out_v2,svk_forests,GIS,CEO,,MISSING CEO PLOTS,CEO LON,CEO LAT
311,300,0,311,300,300,311,311,3,139342225,139342225,TRUE,,,
311,300,0,311,300,300,311,311,3,139342226,,FALSE,,,
311,300,0,311,300,300,311,311,3,139342227,139342227,TRUE,,,
311,300,0,311,300,300,311,311,3,139342228,139342228,TRUE,,,
311,300,0,311,300,300,311,311,3,139342229,139342229,TRUE,,,
311,300,0,311,300,300,311,311,3,139342230,139342230,TRUE,,,
311,300,0,311,300,300,311,311,3,139342231,139342231,TRUE,,,
311,300,0,311,300,300,311,311,3,139342232,139342232,TRUE,,,
311,300,0,311,300,300,311,311,3,139342233,139342233,TRUE,,,
311,300,0,311,300,300,311,311,3,139342234,139342234,TRUE,,,
321,300,0,300,313,300,321,321,3,139342235,139342235,TRUE,,,
321,300,0,300,313,300,321,321,3,139342236,139342236,TRUE,,,
321,300,0,300,313,300,321,321,3,139342237,139342237,TRUE,,,
321,300,0,300,313,300,321,321,3,139342238,139342238,TRUE,,,
321,300,0,300,313,300,321,321,3,139342239,139342239,TRUE,,,
321,300,0,300,313,300,321,321,3,139342240,139342240,TRUE,,,
321,300,0,300,313,300,321,321,3,139342241,139342241,TRUE,,,
321,300,0,300,313,300,321,321,3,139342242,139342242,TRUE,,,
321,300,0,300,313,300,321,321,3,139342243,139342243,TRUE,,,
321,300,0,300,313,300,321,321,3,139342244,139342244,TRUE,,,
331,304,2018,300,300,300,331,331,3,139342245,139342245,TRUE,,,
331,304,2017,300,300,300,331,331,3,139342246,139342246,TRUE,,,
331,304,2019,300,300,300,331,331,3,139342247,139342247,TRUE,,,
331,304,2019,300,300,300,331,331,3,139342248,139342248,TRUE,,,
331,304,2019,300,300,300,331,331,3,139342249,139342249,TRUE,,,
331,304,2018,300,300,300,331,331,3,139342250,139342250,TRUE,,,
331,304,2017,300,300,300,331,331,3,139342251,139342251,TRUE,,,
331,304,2019,300,300,300,331,331,3,139342252,139342252,TRUE,,,
333,303,2016,300,300,300,331,333,3,139342253,139342253,TRUE,,,
331,304,2017,300,300,300,331,331,3,139342254,139342254,TRUE,,,
344,304,2019,311,300,300,341,341,3,139342255,139342255,TRUE,,,
344,304,2017,311,300,300,341,341,3,139342256,139342256,TRUE,,,
344,304,2017,311,300,300,341,341,3,139342257,139342257,TRUE,,,
344,304,2017,311,300,300,341,341,3,139342258,139342258,TRUE,,,
344,304,2017,311,300,300,341,341,3,139342259,139342259,TRUE,,,
344,304,2018,311,300,300,341,341,3,139342260,139342260,TRUE,,,
344,304,2019,311,300,300,341,341,3,139342261,139342261,TRUE,,,
344,304,2018,311,300,300,341,341,3,139342262,139342262,TRUE,,,
344,304,2016,311,300,300,341,341,3,139342263,139342263,TRUE,,,
344,304,2016,311,300,300,341,341,3,139342264,139342264,TRUE,,,
344,304,2017,311,300,300,341,341,3,139342265,139342265,TRUE,,,
344,304,2018,311,300,300,341,341,3,139342266,139342266,TRUE,,,
344,304,2016,311,300,300,341,341,3,139342267,139342267,TRUE,,,
344,304,2019,311,300,300,341,341,3,139342268,139342268,TRUE,,,
