plot_id,sample_id,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,pl_plotid,pl_plot_id,pl_strata_coded_year,pl_o_lc,pl_o_change,pl_o_ch_type,pl_o_deg_driver,pl_o_def_type,pl_o_yrchange,pl_confidence,pl_final,"Land cover, 2019",Change?,Change type?,Driver of degradation?,Deforestation type,Confidence,Year of change
140797653,568563873,105.6137152,16.92628116,j.ferrand@forestcarbon.com,false,2021-06-22 04:27,722.5 secs,Planet NICFI Public,,POINT(105.6137152 16.92628116),101,139378023,0,forest,yes,forest degradation,selective logging,,2018,high,degradation,forest,yes,forest degradation,selective logging,,medium,2018
140797654,568563874,106.1351873,16.55734308,j.ferrand@forestcarbon.com,false,2021-06-22 04:38,82.6 secs,Planet NICFI Public,,POINT(106.1351873 16.55734308),102,139378024,0,forest,yes,forest degradation,selective logging,,2018,high,degradation,forest,no,,,,low,
140797655,568563875,106.7350822,16.39753279,j.ferrand@forestcarbon.com,false,2021-06-22 04:48,553.2 secs,CODED Degradation Evergreen 2010 - 2019,,POINT(106.7350822 16.39753279),103,139378025,0,forest,yes,forest degradation,selective logging,,2015,high,degradation,forest,no,,,,low,
140797656,568563876,106.1200956,16.63522701,j.ferrand@forestcarbon.com,false,2021-06-22 04:52,271.9 secs,Planet NICFI Public,,POINT(106.1200956 16.63522701),107,139378029,0,non-forest,yes,forest degradation,shifting agriculture,,2016,medium,degradation,forest,yes,forest degradation,other,,medium,2017
140797657,568563877,106.1421941,16.85217015,j.ferrand@forestcarbon.com,false,2021-06-22 04:55,180.0 secs,Planet NICFI Public,,POINT(106.1421941 16.85217015),111,139378033,0,forest,yes,forest degradation,selective logging,,2014,medium,degradation,non-forest,yes,forest loss,,agriculture,medium,2017
140797658,568563878,106.1478535,16.84543279,j.ferrand@forestcarbon.com,false,2021-06-22 05:12,1037.1 secs,Planet NICFI Public,,POINT(106.1478535 16.84543279),112,139378034,0,forest,yes,forest degradation,fire (human caused),,2014,medium,degradation,non-forest,yes,forest loss,,agriculture,medium,2017
140797659,568563879,106.1179396,16.56300246,j.ferrand@forestcarbon.com,false,2021-06-22 05:16,211.6 secs,Planet NICFI Public,,POINT(106.1179396 16.56300246),114,139378036,0,forest,yes,forest degradation,shifting agriculture,,2011,high,degradation,forest,yes,forest degradation,shifting agriculture,,medium,2018
140797660,568563880,106.6132706,16.32665571,j.ferrand@forestcarbon.com,false,2021-06-22 05:19,181.4 secs,Planet NICFI Public,,POINT(106.6132706 16.32665571),115,139378037,0,forest,yes,forest degradation,shifting agriculture,,2012,high,degradation,forest,no,,,,low,
140797661,568563881,106.1068903,16.87049578,j.ferrand@forestcarbon.com,false,2021-06-22 05:20,55.1 secs,Planet NICFI Public,,POINT(106.1068903 16.87049578),116,139378038,0,forest,yes,forest degradation,other,,2012,low,degradation,non-forest,yes,forest loss,,agriculture,medium,2013
140797662,568563882,105.6940246,16.74598928,j.ferrand@forestcarbon.com,false,2021-06-22 05:21,70.6 secs,Planet NICFI Public,,POINT(105.6940246 16.74598928),118,139378040,0,forest,yes,forest degradation,shifting agriculture,,2010,high,degradation,forest,no,,,,low,
140797663,568563883,105.5202006,16.92035228,j.ferrand@forestcarbon.com,false,2021-06-22 05:23,108.3 secs,Planet NICFI Public,,POINT(105.5202006 16.92035228),119,139378041,0,forest,yes,forest loss,,agriculture,2015,high,degradation,forest,no,,,,low,
