plot_id,sample_id,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,pl_plotid,pl_plot_id,pl_strata_coded_year,pl_o_lc,pl_o_change,pl_o_ch_type,pl_o_deg_driver,pl_o_def_type,pl_o_yrchange,pl_confidence,pl_final,"Land cover, 2019",Change?,Change type?,Driver of degradation?,Deforestation type,Confidence,Year of change
140797685,568563905,106.543741,16.8397734,j.ferrand@forestcarbon.com,false,2021-06-22 07:41,381.1 secs,FCDM 2015 - 2019,,POINT(106.543741 16.8397734),50,139377972,0,forest,no,,,,NA,high,degradation,forest,yes,forest degradation,shifting agriculture,,low,2018
140797686,568563906,105.8357788,16.69370734,j.ferrand@forestcarbon.com,false,2021-06-22 07:42,83.1 secs,Planet NICFI Public,,POINT(105.8357788 16.69370734),52,139377974,0,forest,yes,forest degradation,selective logging,,2011,medium,degradation,forest,no,,,,medium,
140797687,568563907,105.3447596,16.72928062,j.ferrand@forestcarbon.com,false,2021-06-22 07:46,222.2 secs,Planet NICFI Public,,POINT(105.3447596 16.72928062),53,139377975,0,forest,yes,forest degradation,selective logging,,2016,medium,degradation,forest,no,,,,low,
140797688,568563908,105.9317188,16.17897268,j.ferrand@forestcarbon.com,false,2021-06-22 07:47,80.6 secs,Planet NICFI Public,,POINT(105.9317188 16.17897268),54,139377976,0,forest,yes,forest degradation,selective logging,,2015,medium,degradation,forest,no,,,,low,
140797689,568563909,106.3831223,16.81875282,j.ferrand@forestcarbon.com,false,2021-06-22 07:51,259.9 secs,Planet NICFI Public,,POINT(106.3831223 16.81875282),57,139377979,0,forest,no,,,,NA,high,degradation,forest,yes,forest degradation,selective logging,,medium,2018
140797690,568563910,105.8794369,16.99554127,j.ferrand@forestcarbon.com,false,2021-06-22 07:54,140.8 secs,Planet NICFI Public,,POINT(105.8794369 16.99554127),63,139377985,0,forest,no,,,,NA,medium,degradation,forest,no,,,,low,
140797691,568563911,105.7692136,16.84031239,j.ferrand@forestcarbon.com,false,2021-06-22 07:55,86.1 secs,Planet NICFI Public,,POINT(105.7692136 16.84031239),64,139377986,0,forest,yes,forest degradation,selective logging,,2017,high,degradation,forest,yes,forest degradation,selective logging,,medium,2018
140797692,568563912,105.8026309,17.04566726,j.ferrand@forestcarbon.com,false,2021-06-22 07:56,61.3 secs,Planet NICFI Public,,POINT(105.8026309 17.04566726),65,139377987,0,forest,yes,forest degradation,shifting agriculture,,2011,high,degradation,forest,no,,,,medium,
140797693,568563913,106.4313618,16.30320968,j.ferrand@forestcarbon.com,false,2021-06-22 07:57,66.6 secs,Planet NICFI Public,,POINT(106.4313618 16.30320968),66,139377988,0,forest,yes,forest degradation,shifting agriculture,,2012,high,degradation,forest,no,,,,low,
140797694,568563914,106.070778,16.94272033,j.ferrand@forestcarbon.com,false,2021-06-22 07:59,109.7 secs,Planet NICFI Public,,POINT(106.070778 16.94272033),67,139377989,0,forest,yes,forest degradation,shifting agriculture,,2010,high,degradation,forest,no,,,,low,
