Forest_Typ,lat,lon,pl_coded,pl_codedla,pl_fcdm,pl_fcdmlat,pl_frel,pl_plotid,pl_samplei,pl_strata1,pl_strata_,pl_union_d,plot_id,sample_id,strata_coded,strata_coded_year,strata_fcdm,strata_frel_2015,strata_frel_2019,strata_out,svk_forests
,16.46409795,104.8685627,0,0,0,0,0,4,4,No detected degradation,0,0,139430109,543463288,300,0,300,300,300,300,300
,16.17519975,105.5819149,0,0,0,0,0,5,5,No detected degradation,0,0,139430110,543463289,300,0,300,300,300,300,300
,16.36869687,105.8859048,0,0,0,0,0,6,6,No detected degradation,0,0,139430111,543463290,300,0,300,300,300,300,300
,16.65220517,105.5175057,0,0,0,0,0,7,7,No detected degradation,0,0,139430112,543463291,300,0,300,300,300,300,300
,16.17816419,105.1819849,0,0,0,0,0,8,8,No detected degradation,0,0,139430113,543463292,300,0,300,300,300,300,300
,16.13208062,105.9783414,0,0,0,0,0,9,9,No detected degradation,0,0,139430114,543463293,300,0,300,300,300,300,300
,16.58779596,105.773795,0,0,0,0,0,10,10,No detected degradation,0,0,139430115,543463294,300,0,300,300,300,300,300
,16.94137286,105.6905212,0,0,0,0,0,11,11,No detected degradation,0,0,139430116,543463295,300,0,300,300,300,300,300
,16.40750409,105.7031874,0,0,0,0,0,12,12,No detected degradation,0,0,139430117,543463296,300,0,300,300,300,300,300
,16.36896636,106.1058123,0,0,0,0,0,13,13,No detected degradation,0,0,139430118,543463297,300,0,300,300,300,300,300
,16.56973983,105.4048569,0,2018,0,0,0,14,14,No detected degradation,0,0,139430119,543463298,300,2019,300,300,300,300,300
,16.25847358,105.4380048,0,0,0,0,0,15,15,No detected degradation,0,0,139430120,543463299,200,0,200,200,200,200,200
,16.68508351,106.0036739,0,0,0,0,0,16,16,No detected degradation,0,0,139430121,543463300,200,0,200,200,200,200,200
,16.84947521,104.8036145,0,0,0,0,0,17,17,No detected degradation,0,0,139430122,543463301,200,0,200,200,200,200,200
,16.98098856,105.2520535,0,0,0,0,0,18,18,No detected degradation,0,0,139430123,543463302,200,0,200,200,200,200,200
,16.99931419,106.0381692,0,0,0,0,0,19,19,No detected degradation,0,0,139430124,543463303,200,0,200,200,200,200,200
,16.7899169,106.5116712,0,0,0,0,0,20,20,No detected degradation,0,0,139430125,543463304,200,0,200,200,200,200,200
