OID_,Value,Count
,0,10289364.000000000000000
,100,2948711.000000000000000
,111,541962.000000000000000
,121,10.000000000000000
,131,6140.000000000000000
,133,2689.000000000000000
,141,254.000000000000000
,143,10952.000000000000000
,144,28667.000000000000000
,200,4019569.000000000000000
,211,1186369.000000000000000
,221,1249.000000000000000
,231,62637.000000000000000
,233,17461.000000000000000
,241,2281.000000000000000
,243,33457.000000000000000
,244,97191.000000000000000
,251,206879.000000000000000
,253,1450.000000000000000
,254,32435.000000000000000
,300,3512680.000000000000000
,311,1083842.000000000000000
,321,286.000000000000000
,331,167807.000000000000000
,333,2180.000000000000000
,341,1816.000000000000000
,343,2040.000000000000000
,344,108438.000000000000000
,400,4709678.000000000000000
,500,6123778.000000000000000
