OID_,Value,Count
,0,10289364.000000000000000
,100,2948711.000000000000000
,111,541962.000000000000000
,121,10.000000000000000
,131,6140.000000000000000
,133,2689.000000000000000
,141,39873.000000000000000
,200,4019569.000000000000000
,211,1186369.000000000000000
,221,1249.000000000000000
,231,62637.000000000000000
,233,17461.000000000000000
,241,132929.000000000000000
,251,240764.000000000000000
,300,3512680.000000000000000
,311,1083842.000000000000000
,321,286.000000000000000
,331,167807.000000000000000
,333,2180.000000000000000
,341,112294.000000000000000
,400,4709678.000000000000000
,500,6123778.000000000000000
